area,bedrooms,bathrooms,stories,parking,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price
6000,3,2,4,1,True,False,False,False,True,False,False,False,7525000
7200,3,2,1,3,True,False,True,False,True,False,True,False,6300000
3816,2,1,1,2,True,False,True,False,True,False,False,False,3920000
2610,3,1,2,0,True,False,True,False,False,True,False,True,3430000
3750,3,1,2,0,True,False,False,False,False,False,False,True,3010000
5010,3,1,2,0,True,False,True,False,False,False,True,False,4620000
3850,3,1,2,0,True,False,False,False,False,False,False,True,1750000
5076,3,1,1,0,False,False,False,False,False,False,False,True,3010000
3180,3,1,1,0,False,False,False,False,False,False,False,True,2520000
6020,3,1,1,0,True,False,False,False,False,False,True,False,3710000
3120,3,1,2,0,False,False,True,True,False,False,True,False,3703000
7700,2,1,1,0,True,False,False,False,False,False,False,True,2450000
7000,3,1,1,3,True,False,False,False,False,False,False,False,4200000
3570,3,1,2,0,True,False,True,False,False,False,True,False,3640000
3000,2,1,2,0,True,False,False,False,True,False,False,False,3640000
6450,3,2,1,0,True,True,True,True,False,False,False,True,5383000
2400,3,1,1,0,False,False,False,False,False,False,True,False,1767150
5300,4,2,1,0,True,False,False,False,True,True,False,True,5250000
7424,3,1,1,0,False,False,False,False,False,False,False,True,3500000
12090,4,2,2,2,True,False,False,False,False,True,False,False,6790000
7260,3,2,1,3,True,True,True,False,False,False,False,False,3920000
3000,3,1,2,0,True,False,False,False,False,False,True,False,3920000
5200,3,1,3,0,True,False,False,False,True,False,True,False,5810000
8400,3,1,2,2,True,True,True,False,True,True,False,True,5250000
6525,3,2,4,1,True,False,False,False,False,False,False,False,5950000
3650,3,1,2,0,True,False,False,False,False,False,False,True,3500000
3635,2,1,1,0,False,False,False,False,False,False,False,True,2408000
4000,3,1,1,0,True,False,False,False,False,False,True,False,2660000
4600,2,2,1,2,True,False,False,False,True,False,True,False,5285000
5640,2,1,1,0,False,False,False,False,False,False,True,False,3675000
3520,3,1,2,0,True,False,False,False,False,True,True,False,4200000
1836,2,1,1,0,False,False,True,False,False,False,True,False,2275000
3150,3,1,2,0,True,False,True,False,False,False,False,False,3570000
5680,3,1,2,1,True,True,False,False,True,False,True,False,4620000
2145,3,1,3,1,True,False,False,False,False,True,False,True,4200000
8100,2,1,1,1,True,False,False,False,False,False,False,True,3087000
3930,2,1,1,0,False,False,False,False,False,False,False,True,3255000
6420,3,2,2,1,True,False,False,False,True,True,True,False,8855000
4130,3,2,2,2,True,False,False,False,False,False,True,False,3640000
11440,4,1,2,1,True,False,True,False,False,True,True,False,7343000
9667,4,2,2,1,True,True,True,False,False,False,True,False,4690000
10360,2,1,1,1,True,False,False,False,False,True,True,False,4305000
5960,3,1,2,0,True,True,True,False,False,False,False,True,3640000
2880,3,1,2,0,True,False,False,False,False,True,True,False,4403000
6360,2,1,2,0,True,False,False,False,False,False,False,True,4270000
3480,3,1,2,1,False,False,False,False,False,False,True,False,2940000
8100,4,1,4,2,True,False,True,False,True,False,True,False,4795000
6540,4,2,2,2,True,True,True,False,True,True,False,False,8540000
2787,3,1,1,0,True,False,True,False,False,True,False,False,4235000
6480,3,2,4,2,True,False,False,False,True,False,False,True,7700000
3600,6,1,2,1,True,False,False,False,False,False,False,True,3500000
3185,2,1,1,2,True,False,True,False,False,False,False,False,3360000
4410,4,3,2,2,True,False,True,False,False,False,True,False,4970000
9000,3,1,2,2,True,False,False,False,False,False,True,False,3150000
3650,3,2,2,2,True,False,False,False,False,False,True,False,5530000
7160,3,1,1,2,True,False,True,False,False,True,False,True,5880000
3584,2,1,1,0,True,False,False,True,False,False,True,False,3710000
4280,2,1,1,2,True,False,False,False,True,False,True,False,3640000
7000,3,1,4,2,True,False,False,False,True,False,True,False,8400000
9620,3,1,1,2,True,False,True,False,False,True,False,False,6083000
9166,2,1,1,2,True,False,True,False,True,False,True,False,4760000
2160,3,1,2,0,False,False,True,False,False,False,True,False,3080000
6050,3,1,1,0,True,False,True,False,False,True,True,False,5243000
9000,4,2,4,1,True,True,False,False,True,True,False,False,7245000
5320,3,1,2,0,True,True,True,False,False,True,True,False,4550000
8800,3,2,2,2,True,False,False,False,True,False,False,False,8575000
8500,3,2,4,2,True,False,False,False,True,False,False,False,8960000
5880,2,1,1,0,True,False,False,False,False,False,False,True,3500000
13200,2,1,1,1,True,False,True,True,False,False,False,False,6930000
4510,4,2,2,0,True,False,True,False,False,False,True,False,4613000
4075,3,1,1,2,True,True,True,False,False,False,True,False,4340000
3510,3,1,2,0,True,False,False,False,False,False,True,False,4473000
2856,3,1,3,0,True,False,False,False,False,True,False,False,3780000
6000,4,2,4,1,True,False,False,False,False,False,True,False,6300000
4500,4,2,1,2,False,False,True,False,True,False,True,False,5215000
6600,3,1,1,0,True,True,True,False,False,True,False,False,5040000
3510,3,1,3,0,True,False,False,False,False,False,True,False,4515000
4560,3,2,2,1,True,True,True,False,True,False,False,False,8645000
3480,2,1,1,1,True,False,False,False,False,False,True,False,2660000
2398,3,1,1,0,True,False,False,False,False,True,True,False,3118850
3500,2,1,1,0,True,True,False,False,False,False,False,True,2450000
7500,3,3,1,2,True,False,True,False,True,True,True,False,10850000
6900,3,2,1,0,True,True,True,False,False,True,False,True,6020000
6000,3,2,3,0,True,False,False,False,True,False,True,False,7560000
